post	target	implied_statement
waffen-ss reenactor t-shirt from the white resister | read more : via	non-white people	non-white people are inferior
#bible = do not kill ( fullstop ) . #islam = do not kill the #unjustly ( ? )	Muslims	Muslims murder innocents
#bible = do not kill ( fullstop ) . #islam = do not kill the #unjustly ( ? )	Islamic people	Islamic people are killers.
: swedish patriots burn down more facilities for non-white invaders	non-white people	Non-white people are invaders.
: swedish patriots burn down more facilities for non-white invaders	Minority immigrants	Minority immigrants are taking over
i get a racist vibe from u caroline not that ur white more like a lesser mexican country	Mexicans	Mexicans are inferior
i get a racist vibe from u caroline not that ur white more like a lesser mexican country	Mexicans	Mexicans are lower than whites.
muslims attack - a common theme around the world ! !	muslims	Muslims are violent.
muslims attack - a common theme around the world ! !	Muslims	Muslims are violent killers.
why bring them here if there is no place to live ? no jobs ? what the ...	Immigrants	Immigrants take what belongs to citizens.
why bring them here if there is no place to live ? no jobs ? what the ...	immigrants	Immigrants shouldn't come to the country.
ethnic norwegians disappearing as non-white colonization intensifies #swrm via	non-white people	non-white people are colonizers
ethnic norwegians disappearing as non-white colonization intensifies #swrm via	Immigrants	Immigrants are destroying white culture
netherlands : 65 % of 1990s immigrants on welfare | read more : via	immigrants	immigrants are unemployable
netherlands : 65 % of 1990s immigrants on welfare | read more : via	Immigrants	Immigrants are given welfare
look at the word games though . i organized the rally & i'm not a ' racist ' or ' neo-nazi ' . i'm pro-white	non-white people	non-white people are inferior
at least the fires still lit there's hope . i wish us white had our own homeland achieved peacefully but achieved at all is a +	non-white people	non-white people should be segregated
never seen nyt going into an outburst  when hindus are being targeted on a regular basis in malabar  kashmir	Hindus	Hindus are in danger.
never seen nyt going into an outburst  when hindus are being targeted on a regular basis in malabar  kashmir	Liberals	Liberals are hypocrites
: raymond ibrahim : the muslim will vs . the western way	Muslims	Muslims don't like westerners.
: raymond ibrahim : the muslim will vs . the western way	Muslims	Muslims want to end western civilization.
" i am an immigrant  vickie  i don't see  "" white christian "" "" males as a threat . you  however  are blinded by ignorance & hate . sucks to be you ! """	immigrants	Immigrants are threatening.
don't bother sending your son to #boyscouts anymore ... #perversion #family #children	Boy scout leaders	Boy scout leaders are perverts
don't bother sending your son to #boyscouts anymore ... #perversion #family #children	boy scout members	Boy Scout members are perverse.
: boycott the anti-white racist censorship  boycott zuckerbergs facebook :	non-whites	Non-whites are racist.
: boycott the anti-white racist censorship  boycott zuckerbergs facebook :	Progressives	Progressives are prejudiced to whites
sadly this is what the older jewish sect wants . a black on white race war	jewish people	jewish people want a race war.
sadly this is what the older jewish sect wants . a black on white race war	Jews	Jews wants black and white race to fight each other
" the biggest lie of all is the fake jewish  "" holocaust "" "" narrative of wwii ! on the importance of exposing the holohoax """	Jewish people	Jewish people are making up the Halocaust
" the biggest lie of all is the fake jewish  "" holocaust "" "" narrative of wwii ! on the importance of exposing the holohoax """	Jews	Jews lie about history
in b k dutt colony  3 public parks out of 6 have been encroached by muslims in name of wakfboard.outsider muslims stop hindus 2 enter	Muslims	Muslims take power from others.
